Title	URL	Assignees	Status	Priority	Estimate	Size
COMO analista SOLICITO crear el proyecto y maquetación prototipo PARA validar la experiencia de usuario con el cliente			Backlog del producto			
COMO analista SOLICITO Implementar el sistema de registro de usuario PARA crear una nueva cuenta de acceso a la aplicación	https://github.com/daperperm/Actividad7Source/issues/1	daperperm	Finalizada / Histórico			
